id,created_at,status,market,vat_percentage
abc0001115,2020-06-27 22:41:37.695+00,suspend,,0.0
abc0001116,2020-06-28 01:37:13.37+00,suspend,,0.0
abc0001117,2020-06-28 05:22:45.751+00,suspend,,0.0
abc0001118,2020-06-28 21:40:39.329+00,suspend,,0.0
abc0001119,2020-06-29 06:45:43.153+00,active,,0.0
abc0001120,2020-07-01 06:52:15.272+00,suspend,,0.0
abc0001121,2020-07-01 07:01:58.798+00,suspend,,0.0
abc0001122,2020-07-01 17:20:34.852+00,suspend,,0.0
abc0001123,2020-07-01 17:49:58.555+00,suspend,,0.0
abc0001124,2020-07-01 18:22:21.542+00,suspend,,0.0
abc0001125,2020-07-01 19:05:43+00,suspend,,0.0
abc0001126,2020-07-01 21:54:57.019+00,suspend,,0.0
abc0001127,2020-07-02 02:32:33.701+00,suspend,,0.0
abc0001128,2020-07-02 03:24:21.04+00,suspend,,0.0
abc0001129,2020-07-02 10:02:55.148+00,active,SG,9.0
abc0001130,2020-07-02 14:43:21.809+00,suspend,,0.0
abc0001131,2020-07-03 00:10:29.679+00,suspend,,0.0
abc0001132,2020-07-03 02:50:54.38+00,active,,9.0
abc0001133,2020-07-03 07:53:46.617+00,active,,0.0
abc0001134,2020-07-04 12:50:40.271+00,suspend,,0.0
abc0001135,2020-07-04 17:02:39.37+00,suspend,,0.0
abc0001136,2020-07-05 01:09:38.095+00,suspend,,0.0
abc0001137,2020-07-05 07:11:25.042+00,suspend,,0.0
abc0001138,2020-07-05 13:22:40.213+00,suspend,,0.0
abc0001139,2020-07-05 15:45:47.694+00,suspend,,0.0
abc0001140,2020-07-06 02:56:43.316+00,suspend,,0.0
abc0001141,2020-07-06 05:11:27.465+00,suspend,,0.0
abc0001142,2020-07-06 07:23:09.557+00,suspend,,0.0
abc0001143,2020-07-06 10:42:16.709+00,suspend,,0.0
abc0001144,2020-07-06 15:15:25.748+00,suspend,,0.0
abc0001145,2020-07-07 15:43:32.39+00,suspend,,0.0
abc0001146,2020-07-07 17:48:34.192+00,suspend,,0.0
abc0001147,2020-07-08 10:17:58.246+00,suspend,,0.0
abc0001148,2020-07-09 21:37:40.556+00,suspend,,0.0
abc0001149,2020-07-10 08:43:20.047+00,suspend,,8.0
abc0001150,2020-07-11 13:05:53.954+00,suspend,,0.0
abc0001151,2020-07-11 13:38:41.593+00,suspend,,0.0
abc0001152,2020-07-11 18:19:39.343+00,suspend,,0.0
abc0001153,2020-07-13 06:01:22.892+00,suspend,,0.0
abc0001154,2020-07-13 18:25:29.68+00,suspend,,0.0
abc0001155,2020-07-13 19:19:39.21+00,active,US,0.0
abc0001156,2020-07-13 21:29:50.295+00,suspend,,0.0
abc0001157,2020-07-14 01:52:03.898+00,active,,9.0
abc0001158,2020-07-14 09:40:34.447+00,suspend,,0.0
abc0001159,2020-07-14 15:03:38.276+00,suspend,,0.0
abc0001160,2020-07-14 17:18:10.244+00,suspend,,0.0
abc0001161,2020-07-15 11:09:01.029+00,suspend,,0.0
abc0001162,2020-07-15 21:52:27.925+00,suspend,,0.0
abc0001163,2020-07-16 02:13:27.415+00,suspend,,0.0
abc0001164,2020-07-16 03:20:56.303+00,active,,0.0
abc0001165,2020-07-16 12:07:10.337+00,suspend,,0.0
abc0001166,2020-07-16 20:30:05.395+00,suspend,,0.0
abc0001167,2020-07-17 01:49:41.251+00,active,,0.0
abc0001168,2020-07-17 12:50:53.891+00,suspend,,0.0
abc0001171,2020-07-18 08:47:20.095+00,suspend,,0.0
abc0001172,2020-07-18 15:06:13.969+00,suspend,,0.0
abc0001173,2020-07-18 19:51:14.578+00,suspend,SG,0.0
abc0001174,2020-07-18 22:24:55.38+00,suspend,,0.0
abc0001175,2020-07-19 21:35:20.429+00,suspend,,0.0
abc0001176,2020-07-20 00:31:34.793+00,suspend,,0.0
abc0001177,2020-07-20 00:49:56.81+00,suspend,,0.0
abc0001178,2020-07-20 02:47:22.015+00,suspend,,0.0
abc0001179,2020-07-20 16:23:55.353+00,suspend,,0.0
abc0001180,2020-07-20 18:42:31.108+00,suspend,,0.0
abc0001181,2020-07-20 18:52:49.558+00,suspend,,0.0
abc0001182,2020-07-20 20:50:58.874+00,suspend,,0.0
abc0001183,2020-07-21 08:48:23.648+00,suspend,,0.0
abc0001184,2020-07-21 11:53:49.67+00,suspend,,0.0
abc0001185,2020-07-21 12:54:44.752+00,suspend,,0.0
abc0001186,2020-07-21 14:27:07.355+00,suspend,,0.0
abc0001187,2020-07-21 14:45:23.278+00,suspend,,0.0
abc0001188,2020-07-21 22:29:01.253+00,suspend,,0.0
abc0001189,2020-07-22 05:04:16.349+00,suspend,,0.0
abc0001190,2020-07-22 07:22:26.941+00,suspend,,0.0
abc0001191,2020-07-22 07:35:57.925+00,active,US,0.0
abc0001192,2020-07-22 11:46:19.085+00,suspend,,0.0
abc0001193,2020-07-23 12:33:47.732+00,suspend,,0.0
abc0001194,2020-07-23 21:23:23.468+00,suspend,,0.0
abc0001195,2020-07-23 23:22:11.052+00,suspend,,0.0
abc0001196,2020-07-24 02:16:15.498+00,active,,0.0
abc0001197,2020-07-24 04:08:13.928+00,suspend,,0.0
abc0001198,2020-07-24 08:58:19.054+00,suspend,,0.0
abc0001199,2020-07-24 17:59:07.523+00,suspend,,8.0
abc0001200,2020-07-25 02:43:36.097+00,suspend,,0.0
abc0001201,2020-07-25 13:36:17.232+00,suspend,,0.0
abc0001202,2020-07-26 03:09:16.319+00,suspend,,0.0
abc0001203,2020-07-26 07:12:33.958+00,suspend,,0.0
abc0001204,2020-07-26 11:06:18.799+00,suspend,,0.0
abc0001205,2020-07-26 15:05:58.06+00,suspend,,0.0
abc0001206,2020-07-26 15:57:37.633+00,suspend,,0.0
abc0001207,2020-07-27 03:29:00.745+00,suspend,,0.0
abc0001208,2020-07-27 10:55:14.568+00,suspend,,0.0
abc0001209,2020-07-27 15:29:47.234+00,suspend,,0.0
abc0001210,2020-07-28 17:11:14.555+00,suspend,,0.0
abc0001211,2020-07-28 19:22:26.458+00,suspend,,0.0
abc0001212,2020-07-29 07:21:17.221+00,suspend,,0.0
abc0001213,2020-07-29 14:12:42.497+00,suspend,,0.0
abc0001214,2020-07-30 16:32:18.117+00,suspend,,0.0
abc0001215,2020-07-30 18:29:21.062+00,suspend,,0.0
abc0001216,2020-07-31 06:49:48.062+00,suspend,,0.0
abc0001217,2020-07-31 11:23:48.253+00,suspend,,0.0
abc0001218,2020-08-01 12:10:59.13+00,suspend,,0.0
abc0001219,2020-08-01 17:06:02.331+00,suspend,,0.0
abc0001220,2020-08-01 20:36:12.585+00,suspend,,0.0
abc0001221,2020-08-02 01:15:51.671+00,suspend,,0.0
abc0001222,2020-08-02 05:36:49.337+00,suspend,,0.0
abc0001223,2020-08-02 17:11:09.271+00,suspend,,0.0
abc0001224,2020-08-03 01:53:31.861+00,active,,0.0
abc0001225,2020-08-03 02:44:30.855+00,suspend,,0.0
abc0001226,2020-08-03 09:47:46.657+00,suspend,,0.0
abc0001227,2020-08-04 01:48:02.199+00,suspend,,0.0
abc0001228,2020-08-04 08:41:58.159+00,suspend,,0.0
abc0001229,2020-08-04 13:18:10.013+00,suspend,,0.0
abc0001230,2020-08-04 14:15:11.334+00,suspend,,0.0
abc0001231,2020-08-04 22:24:51.707+00,suspend,,0.0
abc0001232,2020-08-05 17:12:03.257+00,suspend,,0.0
abc0001233,2020-08-05 20:17:18.898+00,suspend,,0.0
abc0001234,2020-08-05 20:35:30.751+00,suspend,,0.0
abc0001235,2020-08-06 02:05:20.819+00,suspend,,0.0
abc0001236,2020-08-06 21:14:25.692+00,suspend,,0.0
abc0001237,2020-08-07 15:12:34.006+00,suspend,,0.0
abc0001238,2020-08-07 21:21:48.445+00,suspend,,0.0
abc0001239,2020-08-07 23:00:27.077+00,suspend,,0.0
abc0001240,2020-08-08 02:30:17.909+00,suspend,,0.0
abc0001241,2020-08-08 04:52:08.992+00,suspend,,0.0
abc0001242,2020-08-08 07:25:34.705+00,suspend,,0.0
abc0001243,2020-08-08 18:01:40.917+00,suspend,,0.0
abc0001244,2020-08-09 04:38:35.793+00,suspend,,0.0
abc0001245,2020-08-09 07:50:44.376+00,suspend,,0.0
abc0001246,2020-08-09 12:51:27.664+00,suspend,,0.0
abc0001247,2020-08-09 15:08:39.376+00,suspend,,0.0
abc0001248,2020-08-09 16:08:05.857+00,suspend,,0.0
abc0001249,2020-08-10 03:16:10.77+00,suspend,,0.0
abc0001250,2020-08-10 11:29:23.943+00,suspend,,0.0
abc0001251,2020-08-10 17:27:17.515+00,suspend,,0.0
abc0001252,2020-08-11 00:02:02.115+00,suspend,,0.0
abc0001253,2020-08-11 03:20:24.434+00,suspend,,0.0
abc0001254,2020-08-11 08:43:29.4+00,suspend,,0.0
abc0001255,2020-08-11 11:26:28.585+00,suspend,,0.0
abc0001256,2020-08-11 11:27:23.38+00,suspend,,0.0
abc0001257,2020-08-11 15:17:02.207+00,active,SG,9.0
abc0001258,2020-08-12 02:55:00.887+00,suspend,,0.0
abc0001259,2020-08-12 05:42:56.563+00,suspend,,0.0
abc0001260,2020-08-13 01:49:14.493+00,suspend,,0.0
abc0001261,2020-08-13 05:09:07.64+00,active,,0.0
abc0001262,2020-08-13 08:06:01.409+00,suspend,,0.0
abc0001263,2020-08-13 23:18:53.931+00,suspend,,0.0
abc0001264,2020-08-14 08:55:51.701+00,suspend,,0.0
abc0001265,2020-08-14 17:28:56.785+00,suspend,,0.0
abc0001266,2020-08-14 20:21:14.595+00,suspend,,0.0
abc0001267,2020-08-15 20:10:25.078+00,suspend,,0.0
abc0001268,2020-08-15 21:31:41.01+00,suspend,,0.0
abc0001269,2020-08-16 17:54:21.682+00,suspend,,0.0
abc0001270,2020-08-17 08:11:21.992+00,suspend,,0.0
abc0001271,2020-08-17 17:20:46.001+00,suspend,,0.0
abc0001272,2020-08-18 04:14:25.215+00,suspend,,0.0
abc0001273,2020-08-18 07:16:03.493+00,suspend,CY,0.0
abc0001274,2020-08-18 17:46:03.3+00,suspend,,0.0
abc0001275,2020-08-19 02:25:47.709+00,suspend,,0.0
abc0001276,2020-08-19 13:45:32.725+00,suspend,,0.0
abc0001277,2020-08-19 15:34:59.831+00,suspend,,0.0
abc0001278,2020-08-19 21:06:19.308+00,suspend,,0.0
abc0001279,2020-08-20 02:29:36.05+00,suspend,,0.0
abc0001280,2020-08-20 06:48:39.643+00,suspend,,0.0
abc0001281,2020-08-20 11:21:21.665+00,suspend,,0.0
abc0001282,2020-08-20 19:51:38.152+00,suspend,,0.0
abc0001283,2020-08-21 08:17:00.278+00,suspend,,0.0
abc0001284,2020-08-21 13:57:58.853+00,suspend,,0.0
abc0001285,2020-08-21 19:08:04.017+00,suspend,,0.0
abc0001286,2020-08-22 08:54:54.306+00,suspend,,0.0
abc0001287,2020-08-23 06:18:17.267+00,suspend,,0.0
abc0001288,2020-08-24 10:50:37.329+00,suspend,,0.0
abc0001289,2020-08-24 13:31:39.373+00,suspend,,0.0
abc0001290,2020-08-24 13:34:50.1+00,suspend,,0.0
abc0001291,2020-08-24 13:41:05.404+00,suspend,,0.0
abc0001292,2020-08-24 13:42:16.218+00,suspend,,0.0
abc0001293,2020-08-24 14:37:43.623+00,suspend,,0.0
abc0001294,2020-08-24 15:32:19.4+00,suspend,,0.0
abc0001295,2020-08-24 18:51:48.625+00,suspend,,0.0
abc0001296,2020-08-24 19:10:01.139+00,suspend,,0.0
abc0001297,2020-08-24 20:50:46.952+00,suspend,,0.0
abc0001298,2020-08-24 23:16:12.357+00,suspend,,0.0
abc0001299,2020-08-25 05:53:14.619+00,suspend,,0.0
abc0001300,2020-08-25 12:12:50.377+00,suspend,,0.0
abc0001301,2020-08-25 13:01:22.343+00,suspend,,0.0
abc0001302,2020-08-25 16:19:49.976+00,suspend,,0.0
abc0001303,2020-08-25 19:32:15.189+00,suspend,,0.0
abc0001304,2020-08-25 21:05:54.333+00,suspend,,0.0
abc0001305,2020-08-26 10:36:08.883+00,suspend,,0.0
abc0001306,2020-08-26 13:04:01.178+00,suspend,,0.0
abc0001307,2020-08-26 15:05:30.818+00,suspend,,0.0
abc0001308,2020-08-26 17:37:01.41+00,suspend,,0.0
abc0001309,2020-08-26 22:05:15.546+00,suspend,,0.0
abc0001310,2020-08-27 22:21:49.184+00,suspend,,0.0
abc0001311,2020-08-28 08:04:05.608+00,suspend,,0.0
abc0001312,2020-08-28 14:29:25.855+00,suspend,,0.0
abc0001313,2020-08-29 11:57:04.892+00,suspend,,0.0
abc0001314,2020-08-29 13:08:35.565+00,suspend,,0.0
abc0001315,2020-08-31 03:46:04.339+00,suspend,,0.0
abc0001316,2020-08-31 06:07:49.298+00,suspend,,0.0
abc0001317,2020-08-31 11:36:56.919+00,suspend,,0.0
abc0001318,2020-08-31 17:23:52.327+00,suspend,,0.0
abc0001319,2020-09-01 13:35:17.581+00,suspend,,0.0
abc0001320,2020-09-01 15:21:24.733+00,suspend,,0.0
abc0001321,2020-09-02 08:35:29.056+00,suspend,,0.0
abc0001322,2020-09-03 00:16:57.528+00,suspend,,0.0
abc0001323,2020-09-03 02:05:38.607+00,suspend,,0.0
abc0001324,2020-09-03 02:10:39.35+00,suspend,,0.0
abc0001325,2020-09-03 02:15:33.886+00,suspend,BR,0.0
abc0001326,2020-09-03 02:17:33.83+00,suspend,ES,0.0
abc0001327,2020-09-03 02:19:09.009+00,suspend,,0.0
abc0001328,2020-09-03 02:21:52.996+00,suspend,,0.0
abc0001329,2020-09-03 02:23:15.107+00,suspend,,0.0
abc0001330,2020-09-03 02:24:52.954+00,suspend,,0.0
abc0001331,2020-09-03 02:26:33.081+00,suspend,ES,0.0
abc0001332,2020-09-03 02:27:59.209+00,suspend,LT,0.0
abc0001333,2020-09-03 02:49:15.624+00,suspend,,0.0
abc0001334,2020-09-03 03:12:29.024+00,suspend,,0.0
abc0001335,2020-09-03 11:21:46.609+00,suspend,,0.0
abc0001336,2020-09-03 19:56:23.98+00,suspend,,0.0
abc0001337,2020-09-03 21:24:54.15+00,suspend,,0.0
abc0001338,2020-09-04 01:21:37.467+00,suspend,,0.0
abc0001339,2020-09-04 01:47:03.916+00,suspend,,0.0
abc0001340,2020-09-04 09:03:43.416+00,suspend,,0.0
abc0001341,2020-09-04 17:57:56.911+00,suspend,,0.0
abc0001342,2020-09-05 08:34:30.317+00,suspend,,0.0
abc0001343,2020-09-07 02:00:53.476+00,suspend,,0.0
abc0001344,2020-09-07 07:26:28.736+00,suspend,,0.0
abc0001345,2020-09-07 23:41:02.151+00,suspend,,0.0
abc0001346,2020-09-08 03:32:55.84+00,suspend,,0.0
abc0001347,2020-09-08 03:58:03.595+00,suspend,,0.0
abc0001348,2020-09-08 10:59:49.218+00,suspend,,0.0
abc0001349,2020-09-08 12:38:22.961+00,suspend,,0.0
abc0001350,2020-09-08 19:23:16.12+00,suspend,,0.0
abc0001351,2020-09-09 01:05:17.675+00,active,HK,0.0
abc0001352,2020-09-09 14:02:45.593+00,suspend,,0.0
abc0001353,2020-09-10 07:15:45.422+00,suspend,,0.0
abc0001354,2020-09-10 10:21:38.224+00,suspend,,0.0
abc0001355,2020-09-10 11:05:54.507+00,suspend,,0.0
abc0001356,2020-09-10 19:41:23.348+00,suspend,,0.0
abc0001357,2020-09-11 13:36:36.471+00,suspend,,0.0
abc0001358,2020-09-11 13:49:28.113+00,suspend,,0.0
abc0001359,2020-09-11 23:57:27.633+00,suspend,,0.0
abc0001360,2020-09-12 00:06:12.435+00,suspend,,0.0
abc0001361,2020-09-13 06:45:26.038+00,suspend,,0.0
abc0001362,2020-09-13 18:30:32.131+00,suspend,,0.0
abc0001363,2020-09-14 00:13:10.483+00,suspend,,0.0
abc0001364,2020-09-14 07:41:30.942+00,suspend,,0.0
abc0001365,2020-09-14 08:34:40.252+00,suspend,,0.0
abc0001366,2020-09-14 08:39:46.522+00,suspend,,0.0
abc0001367,2020-09-14 13:30:39.189+00,suspend,,0.0
abc0001368,2020-09-15 09:09:19.895+00,suspend,,0.0
abc0001369,2020-09-15 09:12:09.749+00,suspend,,0.0
abc0001370,2020-09-15 09:13:18.604+00,suspend,CA,0.0
abc0001371,2020-09-15 09:14:43.313+00,suspend,,0.0
abc0001372,2020-09-15 09:16:13.167+00,suspend,,0.0
abc0001373,2020-09-15 09:17:29.77+00,suspend,,0.0
abc0001374,2020-09-15 09:18:35.941+00,suspend,,0.0
abc0001375,2020-09-15 09:38:23.522+00,suspend,,0.0
abc0001376,2020-09-15 12:30:26.858+00,suspend,FR,0.0
abc0001377,2020-09-15 14:21:24.682+00,suspend,,0.0
abc0001378,2020-09-15 19:34:24.422+00,suspend,,0.0
abc0001379,2020-09-15 23:12:46.803+00,suspend,,0.0
abc0001380,2020-09-16 08:41:27.242+00,suspend,,0.0
abc0001381,2020-09-16 13:43:52.689+00,suspend,,0.0
abc0001382,2020-09-16 13:53:23.756+00,suspend,,0.0
abc0001383,2020-09-16 16:10:44.123+00,suspend,,0.0
abc0001384,2020-09-16 20:24:53.954+00,suspend,US,0.0
abc0001385,2020-09-16 23:07:47.014+00,suspend,,0.0
abc0001386,2020-09-17 03:09:53.014+00,suspend,,0.0
abc0001387,2020-09-17 03:14:21.336+00,suspend,,0.0
abc0001388,2020-09-17 03:26:32.615+00,suspend,,0.0
abc0001389,2020-09-17 09:49:08.069+00,suspend,,0.0
abc0001390,2020-09-17 16:18:28.051+00,suspend,,0.0
abc0001391,2020-09-18 00:27:03.724+00,suspend,,0.0
abc0001392,2020-09-18 05:41:36.569+00,suspend,,0.0
abc0001393,2020-09-18 19:34:05.412+00,suspend,,0.0
abc0001394,2020-09-20 03:41:22.909+00,suspend,,0.0
abc0001395,2020-09-21 00:45:39.199+00,suspend,,0.0
abc0001396,2020-09-21 00:47:38.449+00,suspend,,0.0
abc0001397,2020-09-22 11:14:42.247+00,suspend,,0.0
abc0001398,2020-09-22 11:18:14.022+00,suspend,,0.0
abc0001399,2020-09-22 17:52:31.474+00,suspend,,0.0
abc0001400,2020-09-23 12:06:28.483+00,suspend,,0.0
abc0001401,2020-09-23 16:12:37.698+00,suspend,,0.0
abc0001402,2020-09-24 00:33:43.648+00,suspend,,0.0
abc0001403,2020-09-24 01:58:57.308+00,suspend,,0.0
abc0001404,2020-09-24 01:59:53.478+00,suspend,,0.0
abc0001405,2020-09-24 02:00:45.5+00,suspend,,0.0
abc0001406,2020-09-24 02:01:33.735+00,suspend,,0.0
abc0001407,2020-09-24 02:03:13.523+00,suspend,,0.0
abc0001408,2020-09-24 02:04:14.472+00,suspend,,0.0
abc0001409,2020-09-24 02:21:17.376+00,suspend,,0.0
abc0001410,2020-09-24 02:36:22.327+00,suspend,,0.0
abc0001411,2020-09-24 21:08:49.242+00,suspend,,0.0
abc0001412,2020-09-25 01:45:09.297+00,suspend,IN,0.0
abc0001413,2020-09-25 03:54:48.921+00,suspend,,0.0
abc0001414,2020-09-25 03:55:42.471+00,active,,0.0
abc0001415,2020-09-25 12:30:46.518+00,suspend,,0.0
abc0001416,2020-09-25 14:21:35.4+00,suspend,,0.0
abc0001417,2020-09-25 14:25:00.54+00,suspend,,0.0
abc0001418,2020-09-26 00:38:08.393+00,suspend,,0.0
abc0001419,2020-09-26 07:03:02.18+00,active,UY,0.0
abc0001420,2020-09-27 00:26:09.009+00,suspend,,0.0
abc0001421,2020-09-27 04:21:52.988+00,suspend,,0.0
abc0001422,2020-09-27 05:56:35.863+00,suspend,,0.0
abc0001423,2020-09-27 11:32:24.099+00,suspend,,0.0
abc0001424,2020-09-27 14:24:28.498+00,suspend,,0.0
abc0001425,2020-09-28 02:09:30.428+00,suspend,,0.0
abc0001426,2020-09-28 08:02:20.261+00,suspend,,0.0
abc0001427,2020-09-28 22:13:23.499+00,suspend,,0.0
abc0001428,2020-09-29 00:08:25.21+00,suspend,,0.0
abc0001429,2020-09-29 01:22:21.706+00,suspend,,0.0
abc0001430,2020-09-29 07:36:48.969+00,suspend,,0.0
abc0001431,2020-09-29 09:54:08.273+00,suspend,,0.0
abc0001432,2020-09-29 15:32:59.138+00,suspend,,0.0
abc0001433,2020-09-29 17:35:59.879+00,suspend,,0.0
abc0001434,2020-09-29 22:14:56.153+00,suspend,,0.0
abc0001435,2020-09-30 09:06:39.265+00,suspend,,0.0
abc0001436,2020-09-30 09:58:43.253+00,suspend,,0.0
abc0001437,2020-09-30 09:59:36.633+00,suspend,,0.0
abc0001438,2020-09-30 10:00:20.711+00,suspend,,0.0
abc0001439,2020-09-30 10:01:06.169+00,suspend,,0.0
abc0001440,2020-10-01 02:33:17.847+00,suspend,SG,0.0
abc0001441,2020-10-01 20:14:11.477+00,suspend,,0.0
abc0001442,2020-10-02 02:24:23.844+00,suspend,IT,0.0
abc0001443,2020-10-02 02:25:23.655+00,suspend,US,0.0
abc0001444,2020-10-02 02:43:03.913+00,suspend,,0.0
abc0001445,2020-10-02 02:43:52.599+00,suspend,,0.0
abc0001446,2020-10-02 02:45:39.066+00,suspend,,0.0
abc0001447,2020-10-02 02:46:30.42+00,suspend,,0.0
abc0001448,2020-10-02 10:24:43.149+00,suspend,,0.0
abc0001449,2020-10-02 14:16:46.609+00,suspend,,0.0
abc0001450,2020-10-02 14:32:47.917+00,suspend,,0.0
abc0001451,2020-10-02 15:35:30.766+00,suspend,,0.0
abc0001452,2020-10-03 04:58:15.044+00,suspend,,0.0
abc0001509,2020-10-05 23:15:32.738+00,suspend,,0.0
abc0001510,2020-10-06 01:34:26.411+00,suspend,US,0.0
abc0001511,2020-10-06 04:05:14.274+00,active,,0.0
abc0001512,2020-10-06 04:17:49.419+00,active,,9.0
abc0001513,2020-10-06 04:29:03.177+00,active,,9.0
abc0001514,2020-10-06 09:07:19.321+00,suspend,,0.0
abc0001515,2020-10-06 09:08:06.025+00,suspend,,0.0
abc0001516,2020-10-06 11:34:00.902+00,suspend,,0.0
abc0001517,2020-10-06 14:09:11.981+00,suspend,,0.0
abc0001518,2020-10-06 16:31:47.719+00,suspend,,0.0
