merchant_id,updated_at,currency,balance,balance_type
abc0001129,2024-03-23 00:01:19.852+00,,-650.001,real
abc0001129,2024-03-22 09:56:27.639+00,,91088.60999999999,test
abc0001130,2021-10-01 04:37:11.578+00,,0.0,real
abc0001131,2021-10-01 04:37:11.59+00,,0.0,real
abc0001131,2021-10-01 04:37:11.597+00,,0.0,test
abc0001132,2023-10-03 10:45:16.623+00,,2.0,real
abc0001132,2021-07-30 06:07:35.006+00,,33.17,test
abc0001133,2021-10-01 04:37:11.625+00,,0.0,test
abc0001133,2021-10-01 04:37:11.617+00,,0.0,real
abc0001134,2021-10-01 04:37:11.631+00,,0.0,real
abc0001134,2021-10-01 04:37:11.638+00,,0.0,test
abc0001135,2021-10-01 04:37:11.646+00,,0.0,real
abc0001135,2020-09-10 03:36:12.788+00,,0.0,test
abc0001136,2021-10-01 04:37:11.659+00,,0.0,real
abc0001136,2021-10-01 04:37:11.665+00,,0.0,test
abc0001137,2021-10-01 04:37:11.673+00,,0.0,real
abc0001137,2021-10-01 04:37:11.679+00,,0.0,test
abc0001138,2021-10-01 04:37:11.686+00,,0.0,real
abc0001138,2021-10-01 04:37:11.692+00,,0.0,test
abc0001139,2021-10-01 04:37:11.7+00,,0.0,real
abc0001139,2020-09-10 03:36:12.843+00,,0.0,test
abc0001140,2021-10-01 04:37:11.711+00,,0.0,real
abc0001140,2021-10-01 04:37:11.718+00,,0.0,test
abc0001141,2021-10-01 04:37:11.728+00,,0.0,real
abc0001141,2020-09-10 03:36:12.881+00,,0.0,test
abc0001142,2021-10-01 04:37:11.74+00,,0.0,real
abc0001142,2021-10-01 04:37:11.747+00,,0.0,test
abc0001143,2021-10-01 04:37:11.755+00,,0.0,real
abc0001143,2020-09-10 03:36:12.911+00,,0.0,test
abc0001144,2021-10-02 00:01:17.963+00,,85.0,real
abc0001144,2020-11-30 04:43:13.041+00,,199.2,test
abc0001145,2021-10-01 04:37:11.779+00,,0.0,real
abc0001145,2021-10-01 04:37:11.79+00,,0.0,test
abc0001146,2021-10-01 04:37:11.798+00,,0.0,real
abc0001146,2021-10-01 04:37:11.805+00,,0.0,test
abc0001147,2021-10-01 04:37:11.812+00,,0.0,real
abc0001147,2021-10-01 04:37:11.819+00,,0.0,test
abc0001148,2021-10-01 04:37:11.827+00,,0.0,real
abc0001148,2021-10-01 04:37:11.836+00,,0.0,test
abc0001149,2021-10-01 04:37:11.842+00,,0.0,real
abc0001149,2021-10-01 04:37:11.848+00,,0.0,test
abc0001150,2021-10-01 04:37:11.856+00,,0.0,real
abc0001150,2021-10-01 04:37:11.862+00,,0.0,test
abc0001151,2021-10-01 04:37:11.871+00,,0.0,real
abc0001151,2021-10-01 04:37:11.878+00,,0.0,test
abc0001152,2021-10-01 04:37:11.885+00,,0.0,real
abc0001152,2021-10-01 04:37:11.892+00,,0.0,test
abc0001154,2021-10-01 04:37:11.91+00,,0.0,real
abc0001154,2021-10-01 04:37:11.917+00,,0.0,test
abc0001155,2020-09-10 03:36:13.081+00,,0.0,test
abc0001156,2021-10-01 04:37:11.936+00,,0.0,real
abc0001156,2021-10-01 04:37:11.942+00,,0.0,test
abc0001157,2024-02-08 00:00:34.095+00,,-78.72590000000001,real
abc0001158,2021-10-01 04:37:11.962+00,,0.0,real
abc0001158,2021-10-01 04:37:11.968+00,,0.0,test
abc0001159,2021-10-01 04:37:11.978+00,,0.0,real
abc0001159,2021-10-01 04:37:11.984+00,,0.0,test
abc0001160,2021-12-15 00:01:10.357+00,,-413.24,real
abc0001160,2021-10-01 04:37:12.003+00,,0.0,test
abc0001161,2021-10-01 04:37:12.009+00,,0.0,real
abc0001161,2021-10-01 04:37:12.015+00,,0.0,test
abc0001162,2021-10-02 00:01:18.142+00,,38.77,real
abc0001162,2021-10-01 04:37:12.03+00,,0.0,test
abc0001163,2021-10-01 04:37:12.039+00,,0.0,real
abc0001163,2021-10-01 04:37:12.046+00,,0.0,test
abc0001164,2021-10-01 04:37:12.053+00,,0.0,real
abc0001164,2021-10-01 04:37:12.061+00,,0.0,test
abc0001165,2021-10-01 04:37:12.068+00,,0.0,real
abc0001165,2021-10-01 04:37:12.074+00,,0.0,test
abc0001166,2021-10-01 04:37:12.082+00,,0.0,real
abc0001166,2021-10-01 04:37:12.088+00,,0.0,test
abc0001167,2022-01-19 09:20:00.919+00,,0.0,real
abc0001168,2021-10-01 04:37:12.109+00,,0.0,real
abc0001168,2021-10-01 04:37:12.116+00,,0.0,test
abc0001171,2021-10-01 04:37:12.122+00,,0.0,real
abc0001171,2021-10-01 04:37:12.13+00,,0.0,test
abc0001172,2021-10-01 04:37:12.137+00,,0.0,real
abc0001172,2021-10-01 04:37:12.143+00,,0.0,test
abc0001173,2021-10-01 04:37:12.15+00,,0.0,real
abc0001173,2021-10-01 04:37:12.158+00,,0.0,test
abc0001174,2021-10-01 04:37:12.164+00,,0.0,real
abc0001174,2021-10-01 04:37:12.172+00,,0.0,test
abc0001175,2021-10-01 04:37:12.178+00,,0.0,real
abc0001175,2021-10-01 04:37:12.184+00,,0.0,test
abc0001176,2021-10-01 04:37:12.194+00,,0.0,real
abc0001176,2021-10-01 04:37:12.201+00,,0.0,test
abc0001177,2021-10-01 04:37:12.21+00,,0.0,real
abc0001177,2021-10-01 04:37:12.216+00,,0.0,test
abc0001178,2021-10-01 04:37:12.223+00,,0.0,real
abc0001179,2020-09-10 03:36:13.369+00,,0.0,test
abc0001179,2021-10-01 04:37:12.233+00,,0.0,real
abc0001180,2021-10-01 04:37:12.246+00,,0.0,real
abc0001180,2021-10-01 04:37:12.252+00,,0.0,test
abc0001181,2020-09-10 03:36:13.394+00,,0.0,test
abc0001181,2021-10-01 04:37:12.26+00,,0.0,real
abc0001182,2021-10-01 04:37:12.27+00,,0.0,real
abc0001182,2020-09-10 03:36:13.413+00,,0.0,test
abc0001183,2021-10-01 04:37:12.285+00,,0.0,real
abc0001183,2021-10-01 04:37:12.291+00,,0.0,test
abc0001184,2021-10-01 04:37:12.299+00,,0.0,real
abc0001184,2021-10-01 04:37:12.305+00,,0.0,test
abc0001185,2021-10-01 04:37:12.312+00,,0.0,real
abc0001185,2021-10-01 04:37:12.318+00,,0.0,test
abc0001186,2021-10-01 04:37:12.325+00,,0.0,real
abc0001186,2020-09-10 03:36:13.479+00,,0.0,test
abc0001187,2021-10-01 04:37:12.345+00,,0.0,test
abc0001188,2021-10-01 04:37:12.351+00,,0.0,real
abc0001188,2021-10-01 04:37:12.358+00,,0.0,test
abc0001189,2021-10-01 04:37:12.365+00,,0.0,real
abc0001189,2021-10-01 04:37:12.371+00,,0.0,test
abc0001191,2024-03-23 05:51:14.65+00,,-847419.6618000001,real
abc0001191,2024-03-13 18:47:06.024+00,,2069.453,test
abc0001192,2021-10-01 04:37:12.403+00,,0.0,real
abc0001192,2021-10-01 04:37:12.411+00,,0.0,test
abc0001193,2021-10-01 04:37:12.419+00,,0.0,real
abc0001193,2020-09-10 03:36:13.564+00,,0.0,test
abc0001194,2021-10-01 04:37:12.431+00,,0.0,real
abc0001194,2021-10-01 04:37:12.437+00,,0.0,test
abc0001195,2021-10-01 04:37:12.445+00,,0.0,real
abc0001195,2021-10-01 04:37:12.452+00,,0.0,test
abc0001196,2021-10-01 04:37:12.458+00,,0.0,real
abc0001196,2021-10-01 04:37:12.464+00,,0.0,test
abc0001197,2021-10-01 04:37:12.472+00,,0.0,real
abc0001197,2020-09-10 03:36:13.615+00,,0.0,test
abc0001198,2021-10-01 04:37:12.483+00,,0.0,real
abc0001198,2021-10-01 04:37:12.489+00,,0.0,test
abc0001199,2020-09-10 03:36:13.634+00,,0.0,test
abc0001200,2021-10-01 04:37:12.509+00,,0.0,real
abc0001201,2021-10-01 04:37:12.522+00,,0.0,real
abc0001201,2021-10-01 04:37:12.529+00,,0.0,test
abc0001202,2021-10-01 04:37:12.536+00,,0.0,real
abc0001202,2021-10-01 04:37:12.543+00,,0.0,test
abc0001203,2021-10-01 04:37:12.551+00,,0.0,real
abc0001203,2021-10-01 04:37:12.557+00,,0.0,test
abc0001204,2021-10-01 04:37:12.564+00,,0.0,real
abc0001204,2021-10-01 04:37:12.571+00,,0.0,test
abc0001205,2021-10-01 04:37:12.578+00,,0.0,real
abc0001205,2020-09-10 03:36:13.724+00,,0.0,test
abc0001206,2021-10-01 04:37:12.592+00,,0.0,real
abc0001206,2020-09-10 03:36:13.741+00,,0.0,test
abc0001207,2021-10-02 00:01:18.546+00,,6.0,real
abc0001208,2021-10-01 04:37:12.615+00,,0.0,real
abc0001208,2021-10-01 04:37:12.621+00,,0.0,test
abc0001209,2021-10-01 04:37:12.628+00,,0.0,real
abc0001209,2021-10-01 04:37:12.634+00,,0.0,test
abc0001210,2021-10-01 04:37:12.641+00,,0.0,real
abc0001210,2021-10-01 04:37:12.646+00,,0.0,test
abc0001211,2021-10-01 04:37:12.654+00,,0.0,real
abc0001211,2020-09-10 03:36:13.816+00,,0.0,test
abc0001212,2021-10-01 04:37:12.666+00,,0.0,real
abc0001212,2021-10-01 04:37:12.675+00,,0.0,test
abc0001213,2021-10-01 04:37:12.683+00,,0.0,real
abc0001213,2021-10-01 04:37:12.689+00,,0.0,test
abc0001214,2021-10-01 04:37:12.696+00,,0.0,real
abc0001214,2021-10-01 04:37:12.703+00,,0.0,test
abc0001215,2021-10-01 04:37:12.711+00,,0.0,real
abc0001216,2021-10-01 04:37:12.722+00,,0.0,real
abc0001216,2021-10-01 04:37:12.728+00,,0.0,test
abc0001217,2021-10-01 04:37:12.736+00,,0.0,real
abc0001217,2021-10-01 04:37:12.743+00,,0.0,test
abc0001218,2021-10-01 04:37:12.749+00,,0.0,real
abc0001218,2021-10-01 04:37:12.755+00,,0.0,test
abc0001219,2021-10-01 04:37:12.762+00,,0.0,real
abc0001219,2021-10-01 04:37:12.768+00,,0.0,test
abc0001220,2021-10-01 04:37:12.775+00,,0.0,real
abc0001220,2021-10-01 04:37:12.782+00,,0.0,test
abc0001221,2021-10-01 04:37:12.79+00,,0.0,real
abc0001221,2021-10-01 04:37:12.797+00,,0.0,test
abc0001222,2021-10-01 04:37:12.805+00,,0.0,real
abc0001222,2020-09-10 03:36:13.958+00,,0.0,test
abc0001223,2021-10-01 04:37:12.816+00,,0.0,real
abc0001223,2021-10-01 04:37:12.823+00,,0.0,test
abc0001224,2022-09-20 03:04:07.072+00,,-20.93,real
abc0001225,2020-09-10 03:36:13.988+00,,0.0,test
abc0001225,2021-10-01 04:37:12.843+00,,0.0,real
abc0001226,2020-09-10 03:36:14.002+00,,0.0,test
abc0001226,2021-10-01 04:37:12.856+00,,0.0,real
abc0001228,2021-10-01 04:37:12.889+00,,0.0,real
abc0001228,2021-10-01 04:37:12.895+00,,0.0,test
abc0001229,2021-10-01 04:37:12.902+00,,0.0,real
abc0001229,2021-10-01 04:37:12.908+00,,0.0,test
abc0001230,2021-10-01 04:37:12.915+00,,0.0,real
abc0001230,2021-10-01 04:37:12.921+00,,0.0,test
abc0001231,2021-10-01 04:37:12.928+00,,0.0,real
abc0001231,2021-10-01 04:37:12.934+00,,0.0,test
abc0001232,2021-10-01 04:37:12.941+00,,0.0,real
abc0001232,2021-10-01 04:37:12.947+00,,0.0,test
abc0001233,2020-09-10 03:36:14.09+00,,0.0,test
abc0001233,2021-10-01 04:37:12.954+00,,0.0,real
abc0001234,2021-10-01 04:37:12.965+00,,0.0,real
abc0001234,2021-10-01 04:37:12.971+00,,0.0,test
abc0001235,2021-10-01 04:37:12.98+00,,0.0,real
abc0001236,2021-10-01 04:37:12.998+00,,0.0,real
abc0001236,2021-10-01 04:37:13.005+00,,0.0,test
abc0001237,2021-10-01 04:37:13.011+00,,0.0,real
abc0001237,2021-10-01 04:37:13.02+00,,0.0,test
abc0001238,2021-10-01 04:37:13.028+00,,0.0,real
abc0001238,2021-10-01 04:37:13.038+00,,0.0,test
abc0001239,2021-10-01 04:37:13.044+00,,0.0,real
abc0001239,2021-10-01 04:37:13.052+00,,0.0,test
abc0001240,2021-10-01 04:37:13.058+00,,0.0,real
abc0001240,2021-10-01 04:37:13.065+00,,0.0,test
abc0001241,2021-10-01 04:37:13.078+00,,0.0,test
abc0001241,2021-10-01 04:37:13.071+00,,0.0,real
abc0001242,2021-10-01 04:37:13.085+00,,0.0,real
abc0001242,2021-10-01 04:37:13.091+00,,0.0,test
abc0001243,2021-10-01 04:37:13.098+00,,0.0,real
abc0001243,2021-10-01 04:37:13.103+00,,0.0,test
abc0001244,2021-10-01 04:37:13.11+00,,0.0,real
abc0001244,2020-09-10 03:36:14.229+00,,0.0,test
abc0001245,2021-10-01 04:37:13.121+00,,0.0,real
abc0001245,2021-10-01 04:37:13.127+00,,0.0,test
abc0001246,2021-10-01 04:37:13.134+00,,0.0,real
abc0001246,2021-10-01 04:37:13.139+00,,0.0,test
abc0001247,2021-10-01 04:37:13.146+00,,0.0,real
abc0001247,2021-10-01 04:37:13.152+00,,0.0,test
abc0001248,2021-10-01 04:37:13.16+00,,0.0,real
abc0001248,2021-10-01 04:37:13.165+00,,0.0,test
abc0001249,2021-10-01 04:37:13.172+00,,0.0,real
abc0001249,2021-10-01 04:37:13.177+00,,0.0,test
abc0001250,2021-10-01 04:37:13.185+00,,0.0,real
abc0001250,2021-10-01 04:37:13.191+00,,0.0,test
abc0001251,2020-09-10 03:36:14.316+00,,0.0,test
abc0001251,2021-10-01 04:37:13.198+00,,0.0,real
abc0001252,2022-10-02 13:17:23.238+00,,0.98,test
abc0001253,2021-10-01 04:37:13.222+00,,0.0,real
abc0001253,2021-10-01 04:37:13.227+00,,0.0,test
abc0001254,2021-10-01 04:37:13.234+00,,0.0,real
abc0001254,2021-10-01 04:37:13.24+00,,0.0,test
abc0001255,2021-10-01 04:37:13.247+00,,0.0,real
abc0001255,2021-10-01 04:37:13.253+00,,0.0,test
abc0001256,2020-09-10 03:36:14.391+00,,0.0,test
abc0001256,2021-10-01 04:37:13.259+00,,0.0,real
abc0001257,2023-03-16 14:52:59.274+00,,-3.1999999999999993,real
abc0001258,2021-10-01 04:37:13.29+00,,0.0,real
abc0001258,2021-10-01 04:37:13.298+00,,0.0,test
abc0001259,2021-10-01 04:37:13.304+00,,0.0,real
abc0001259,2021-10-01 04:37:13.311+00,,0.0,test
abc0001260,2021-10-01 04:37:13.319+00,,0.0,real
abc0001260,2021-10-01 04:37:13.325+00,,0.0,test
abc0001261,2021-10-01 04:37:13.332+00,,0.0,real
abc0001261,2021-10-01 04:37:13.337+00,,0.0,test
abc0001262,2021-10-01 04:37:13.345+00,,0.0,real
abc0001262,2021-10-01 04:37:13.351+00,,0.0,test
abc0001263,2021-10-01 04:37:13.358+00,,0.0,real
abc0001263,2021-10-01 04:37:13.364+00,,0.0,test
